sample_id	raw_r1	raw_r2
ID_DRTO_1	20098D-04-01_S119_L003_R1_001.fastq.gz	20098D-04-01_S119_L003_R2_001.fastq.gz
ID_DRTO_2	20098D-04-02_S120_L003_R1_001.fastq.gz	20098D-04-02_S120_L003_R2_001.fastq.gz
ID_DRTO_3	20098D-04-03_S121_L003_R1_001.fastq.gz	20098D-04-03_S121_L003_R2_001.fastq.gz
ID_DRTO_4	20098D-04-04_S122_L003_R1_001.fastq.gz	20098D-04-04_S122_L003_R2_001.fastq.gz
ID_DRTO_5	20098D-04-05_S123_L003_R1_001.fastq.gz	20098D-04-05_S123_L003_R2_001.fastq.gz
ID_DRTO_6	20098D-04-06_S124_L003_R1_001.fastq.gz	20098D-04-06_S124_L003_R2_001.fastq.gz
ID_DRTO_7	20098D-04-07_S125_L003_R1_001.fastq.gz	20098D-04-07_S125_L003_R2_001.fastq.gz
ID_DRTO_8	20098D-04-08_S126_L003_R1_001.fastq.gz	20098D-04-08_S126_L003_R2_001.fastq.gz
ID_DRTO_9	20098D-04-09_S127_L003_R1_001.fastq.gz	20098D-04-09_S127_L003_R2_001.fastq.gz
ID_DRTO_10	20098D-04-10_S128_L003_R1_001.fastq.gz	20098D-04-10_S128_L003_R2_001.fastq.gz
ID_DRTO_11	20098D-04-11_S129_L003_R1_001.fastq.gz	20098D-04-11_S129_L003_R2_001.fastq.gz
ID_DRTO_12	20098D-04-12_S214_L003_R1_001.fastq.gz	20098D-04-12_S214_L003_R2_001.fastq.gz
ID_DRTO_13	20098D-04-13_S130_L003_R1_001.fastq.gz	20098D-04-13_S130_L003_R2_001.fastq.gz
ID_DRTO_14	20098D-04-14_S131_L003_R1_001.fastq.gz	20098D-04-14_S131_L003_R2_001.fastq.gz
ID_DRTO_15	20098D-04-15_S132_L003_R1_001.fastq.gz	20098D-04-15_S132_L003_R2_001.fastq.gz
ID_DRTO_16	20098D-04-16_S133_L003_R1_001.fastq.gz	20098D-04-16_S133_L003_R2_001.fastq.gz
ID_DRTO_17	20098D-04-17_S134_L003_R1_001.fastq.gz	20098D-04-17_S134_L003_R2_001.fastq.gz
ID_DRTO_18	20098D-04-18_S135_L003_R1_001.fastq.gz	20098D-04-18_S135_L003_R2_001.fastq.gz
